RduID,Longitude,Latitude,Date,Mtemp
6,-78.7475,36.2563,1987-07,80.6
6,-78.7475,36.2563,1988-07,78.3
6,-78.7475,36.2563,1989-07,77.4
6,-78.7475,36.2563,1990-07,79.4
6,-78.7475,36.2563,1991-07,79.6
6,-78.7475,36.2563,1992-07,78.6
6,-78.7475,36.2563,1993-07,80.8
6,-78.7475,36.2563,1994-07,79.6
6,-78.7475,36.2563,1995-07,79
6,-78.7475,36.2563,1996-07,77.8
6,-78.7475,36.2563,1997-07,78.2
6,-78.7475,36.2563,1998-07,78.8
6,-78.7475,36.2563,1999-07,79.4
6,-78.7475,36.2563,2000-07,75.2
6,-78.7475,36.2563,2001-07,75.3
6,-78.7475,36.2563,2002-07,80.5
6,-78.7475,36.2563,2003-07,77.3
6,-78.7475,36.2563,2004-07,78
6,-78.7475,36.2563,2005-07,81.5
6,-78.7475,36.2563,2006-07,78.3
6,-78.7475,36.2563,2007-07,77
6,-78.7475,36.2563,2008-07,77.5
6,-78.7475,36.2563,2009-07,75.8
6,-78.7475,36.2563,2010-07,80.2
6,-78.7475,36.2563,2011-07,80.9
6,-78.7475,36.2563,2012-07,81.6
6,-78.7475,36.2563,2013-07,77.5
6,-78.7475,36.2563,2014-07,76.3
6,-78.7475,36.2563,2015-07,77.8
6,-78.7475,36.2563,2016-07,79.7
6,-78.7475,36.2563,2017-07,79.3
6,-78.7475,36.2563,2018-07,77.3
6,-78.7475,36.2563,2019-07,79.7
6,-78.7475,36.2563,2020-07,80.8
,,,,
7,-79.0508,36.3695,1975-07,75.2
7,-79.0508,36.3695,1976-07,77.1
7,-79.0508,36.3695,1977-07,79.7
7,-79.0508,36.3695,1978-07,75
7,-79.0508,36.3695,1979-07,74.7
7,-79.0508,36.3695,1980-07,77.4
7,-79.0508,36.3695,1981-07,77
7,-79.0508,36.3695,1982-07,76.8
7,-79.0508,36.3695,1983-07,78.6
7,-79.0508,36.3695,1984-07,73.8
7,-79.0508,36.3695,1985-07,76.1
7,-79.0508,36.3695,1986-07,79.7
7,-79.0508,36.3695,1987-07,79.8
7,-79.0508,36.3695,1988-07,77
7,-79.0508,36.3695,1989-07,75.9
7,-79.0508,36.3695,1990-07,79.1
7,-79.0508,36.3695,1991-07,79.3
7,-79.0508,36.3695,1992-07,78.5
7,-79.0508,36.3695,1993-07,80.7
7,-79.0508,36.3695,1994-07,79.4
7,-79.0508,36.3695,1995-07,78.5
7,-79.0508,36.3695,1996-07,77.4
7,-79.0508,36.3695,1997-07,77.5
7,-79.0508,36.3695,1998-07,78.6
7,-79.0508,36.3695,1999-07,79.2
7,-79.0508,36.3695,2000-07,75
7,-79.0508,36.3695,2001-07,75.8
7,-79.0508,36.3695,2002-07,80.9
7,-79.0508,36.3695,2003-07,77.2
7,-79.0508,36.3695,2004-07,78.3
7,-79.0508,36.3695,2005-07,81.5
7,-79.0508,36.3695,2006-07,77.9
7,-79.0508,36.3695,2007-07,76.4
7,-79.0508,36.3695,2008-07,77.7
